"ID","Station Name","Total Docks","Docks in Service","Status","Latitude","Longitude"
"a3a6c38e-a135-11e9-9cda-0a87ae2ba916","Southport Ave & Wellington Ave","19","19","In Service","41.9357746177","-87.6636001468"
"a3a4203a-a135-11e9-9cda-0a87ae2ba916","Dearborn St & Adams St","30","29","In Service","41.8793563587","-87.6297910363"
"1521686986436309688","Damen Ave & Wabansia Ave","12","12","In Service","41.9122813","-87.6773211"
"a3a523a6-a135-11e9-9cda-0a87ae2ba916","Clark St & Armitage Ave","31","31","In Service","41.918306","-87.636282"
"a3a4b693-a135-11e9-9cda-0a87ae2ba916","Damen Ave & Wicker Park Ave","23","23","In Service","41.9088152","-87.6771937"
"a3ad2322-a135-11e9-9cda-0a87ae2ba916","Wentworth Ave & 35th St","15","15","In Service","41.830777","-87.632504"
"1932130426977611818","Harding Ave & Division St","15","15","In Service","41.9023453","-87.7250744"
"1594041777104953206","Hamlin Ave & 62nd Pl","16","16","In Service","41.779953","-87.7178221"
"1561012883010990646","Komensky Ave & 31st St","12","12","In Service","41.836708","-87.725641"
"2108035409441534756","Green St & Lake St","11","11","In Service","41.88558","-87.64841"
"2076839380704844392","Franklin St & Adams St Corral","20","20","In Service","41.87942","-87.63558"
"a3a7eba7-a135-11e9-9cda-0a87ae2ba916","Damen Ave & Grand Ave","23","23","In Service","41.892394453","-87.676885128"
"2076858985934457692","Franklin St & Monroe St Corral","48","48","In Service","41.88056","-87.63524"
"2076839379263312644","Wacker Dr & Washington St Corral","42","42","In Service","41.88316","-87.63736"
"1594046448232780546","Troy Ave & 27th St","12","12","In Service","41.84265","-87.70401"
"2076839380930411494","Wells St & Randolph St Corral","18","18","In Service","41.88438","-87.63396"
"1500206163166594382","Ping Tom Park (East)","9","9","In Service","41.8579886","-87.6319447"
"1561012887305957948","Lawndale Ave & 16th St","12","12","In Service","41.8591606","-87.7176965"
"a3b2a4ca-a135-11e9-9cda-0a87ae2ba916","Ellis Ave & 83rd St","11","11","In Service","41.744123","-87.599034"
"a3a4f46b-a135-11e9-9cda-0a87ae2ba916","Michigan Ave & Oak St","23","23","In Service","41.90096039","-87.62377664"
"a3ac2b9c-a135-11e9-9cda-0a87ae2ba916","Ashland Ave & Chicago Ave","15","15","In Service","41.8959543573","-87.6677280664"
"a3a6e359-a135-11e9-9cda-0a87ae2ba916","Campbell Ave & North Ave","15","15","In Service","41.910535","-87.689556"
